cliente,assessor,diretoria,origem,tipo_indicador,mes,ano,valor,data_processamento
LEKE MEIAS,JOYCE,Rosieli,PDF consultivo,faturamento_realizado_pdf,Janeiro,2026,10159.63,22/05/2026 17:18:39
LEKE MEIAS,JOYCE,Rosieli,PDF consultivo,faturamento_realizado_pdf,Fevereiro,2026,13254.21,22/05/2026 17:18:39
LEKE MEIAS,JOYCE,Rosieli,PDF consultivo,faturamento_realizado_pdf,Março,2026,8618.72,22/05/2026 17:18:39
LEKE MEIAS,JOYCE,Rosieli,PDF consultivo,faturamento_realizado_pdf,Abril,2026,11265.57,22/05/2026 17:18:39
