cliente,assessor,tipo_meta,mes,ano,meta_planejada,origem,status_meta
LEKE MEIAS,JOYCE,FATURAMENTO_MENSAL,Maio,2026,20000,Rampa consultiva,Planejada
LEKE MEIAS,JOYCE,FATURAMENTO_MENSAL,Junho,2026,35000,Rampa consultiva,Planejada
LEKE MEIAS,JOYCE,FATURAMENTO_MENSAL,Julho,2026,45000,Rampa consultiva,Planejada
LEKE MEIAS,JOYCE,FATURAMENTO_MENSAL,Agosto,2026,55000,Rampa consultiva,Planejada
LEKE MEIAS,JOYCE,FATURAMENTO_MENSAL,Setembro,2026,70000,Rampa consultiva,Planejada
LEKE MEIAS,JOYCE,FATURAMENTO_MENSAL,Outubro,2026,80000,Rampa consultiva,Planejada
LEKE MEIAS,JOYCE,FATURAMENTO_MENSAL,Novembro,2026,90000,Rampa consultiva,Planejada
LEKE MEIAS,JOYCE,FATURAMENTO_MENSAL,Dezembro,2026,100000,Rampa consultiva,Planejada
